construct,standard,host,kind,iso_clause,std_ref,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
CPP_B110,B110,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B1200,B1200,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B134,B134,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B150,B150,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B1800,B1800,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B19200,B19200,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B200,B200,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B2400,B2400,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B300,B300,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B38400,B38400,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B4800,B4800,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B50,B50,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B600,B600,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B75,B75,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_B9600,B9600,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_BRKINT,BRKINT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_BUFSIZ,BUFSIZ,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,बफ_मान,,,,,,,,,,,,,,,,,,,
CPP_CHAR_BIT,CHAR_BIT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अक्षर_बिट,,,,,,,,,,,,,,,,,,,
CPP_CHAR_MAX,CHAR_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अक्षर_उच्च,,,,,,,,,,,,,,,,,,,
CPP_CHAR_MIN,CHAR_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अक्षर_न्यून,,,,,,,,,,,,,,,,,,,
CPP_CHILD_MAX,CHILD_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,शिशु_उच्च,,,,,,,,,,,,,,,,,,,
CPP_CLK_TCK,CLK_TCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,घड़ी_टिक,,,,,,,,,,,,,,,,,,,
CPP_CLOCAL,CLOCAL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CLOCKS_PER_SEC,CLOCKS_PER_SEC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CREAD,CREAD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CS5,CS5,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CS6,CS6,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CS7,CS7,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CS8,CS8,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CSIZE,CSIZE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_CSTOPB,CSTOPB,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_DBL_DIG,DBL_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द्विग_भग्न,,,,,,,,,,,,,,,,,,,
CPP_DBL_EPSILON,DBL_EPSILON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द्विग_अंतर,,,,,,,,,,,,,,,,,,,
CPP_DBL_MANT_DIG,DBL_MANT_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द्विग_पूर्ण,,,,,,,,,,,,,,,,,,,
CPP_DBL_MAX,DBL_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द्विग_उच्च,,,,,,,,,,,,,,,,,,,
CPP_DBL_MAX_10_EXP,DBL_MAX_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_DBL_MAX_EXP,DBL_MAX_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_DBL_MIN,DBL_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द्विग_न्यून,,,,,,,,,,,,,,,,,,,
CPP_DBL_MIN_10_EXP,DBL_MIN_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_DBL_MIN_EXP,DBL_MIN_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_DIR,DIR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची,,,,,,,,,,,,,,,,,,,
CPP_E2BIG,E2BIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EACCESS,EACCESS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EAGAIN,EAGAIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EBADF,EBADF,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EBUSY,EBUSY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ECHILD,ECHILD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ECHO,ECHO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ECHOE,ECHOE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ECHOK,ECHOK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ECHONL,ECHONL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EDEADLK,EDEADLK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EDOM,EDOM,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,गलत_तर्क,,,,,,,,,,,,,,,,,,,
CPP_EEXIST,EEXIST,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EFAULT,EFAULT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EFBIG,EFBIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EINTR,EINTR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EINVAL,EINVAL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EIO,EIO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EISDIR,EISDIR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EMFILE,EMFILE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EMLINK,EMLINK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENAMETOOLONG,ENAMETOOLONG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENFILE,ENFILE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENODEV,ENODEV,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOENT,ENOENT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOEXEC,ENOEXEC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOLCK,ENOLCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOMEM,ENOMEM,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOSPC,ENOSPC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOTDIR,ENOTDIR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOTEMPTY,ENOTEMPTY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENOTTY,ENOTTY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ENXIO,ENXIO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EOF,EOF,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,खातापूर्ण,,,,,,,,,,,,,,,,,,,
CPP_EPERM,EPERM,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EPIPE,EPIPE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ERANGE,ERANGE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दुस्फल,,,,,,,,,,,,,,,,,,,
CPP_EROFS,EROFS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ESPIPE,ESPIPE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ESRCH,ESRCH,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EXDEV,EXDEV,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_EXIT_FAILURE,EXIT_FAILURE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,निकास_त्रुटि,,,,,,,,,,,,,,,,,,,
CPP_EXIT_SUCCESS,EXIT_SUCCESS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,निकास_सफल,,,,,,,,,,,,,,,,,,,
CPP_FD_CLOEXEC,FD_CLOEXEC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_ALL_EXCEPT,FE_ALL_EXCEPT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_DBLPREC,FE_DBLPREC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_DIVBYZERO,FE_DIVBYZERO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_DOWNWARD,FE_DOWNWARD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_FLTPREC,FE_FLTPREC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_INEXACT,FE_INEXACT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_INVALID,FE_INVALID,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_LDBLPREC,FE_LDBLPREC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_OVERFLOW,FE_OVERFLOW,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_TONEAREST,FE_TONEAREST,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_TOWARDZERO,FE_TOWARDZERO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_UNDERFLOW,FE_UNDERFLOW,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FE_UPWARD,FE_UPWARD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FILE,FILE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,खाता,,,,,,,,,,,,,,,,,,,
CPP_FILENAME_MAX,FILENAME_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,खातानाम_उच्च,,,,,,,,,,,,,,,,,,,
CPP_FLT_DIG,FLT_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_भग्न,,,,,,,,,,,,,,,,,,,
CPP_FLT_EPSILON,FLT_EPSILON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_अंतर,,,,,,,,,,,,,,,,,,,
CPP_FLT_MANT_DIG,FLT_MANT_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_पूर्ण,,,,,,,,,,,,,,,,,,,
CPP_FLT_MAX,FLT_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_उच्च,,,,,,,,,,,,,,,,,,,
CPP_FLT_MAX_10_EXP,FLT_MAX_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FLT_MAX_EXP,FLT_MAX_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FLT_MIN,FLT_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_न्यून,,,,,,,,,,,,,,,,,,,
CPP_FLT_MIN_10_EXP,FLT_MIN_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FLT_MIN_EXP,FLT_MIN_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FLT_RADIX,FLT_RADIX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,भग्न_आधार,,,,,,,,,,,,,,,,,,,
CPP_FLT_ROUNDS,FLT_ROUNDS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FOPEN_MAX,FOPEN_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,ख_खोलो_उच्च,,,,,,,,,,,,,,,,,,,
CPP_FP_INFINITE,FP_INFINITE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FP_NANQ,FP_NANQ,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FP_NANS,FP_NANS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FP_NORMAL,FP_NORMAL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FP_SUBNORMAL,FP_SUBNORMAL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_FP_ZERO,FP_ZERO,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_DUPFD,F_DUPFD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_GETFD,F_GETFD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_GETFL,F_GETFL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_GETLK,F_GETLK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_OK,F_OK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_RDLCK,F_RDLCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_SETFD,F_SETFD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_SETFL,F_SETFL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_SETLK,F_SETLK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_SETLKW,F_SETLKW,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_UNLCK,F_UNLCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_F_WRLCK,F_WRLCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_HUGE_VAL,HUGE_VAL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,विशाल_मान,,,,,,,,,,,,,,,,,,,
CPP_HUPCL,HUPCL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ICANON,ICANON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ICRNL,ICRNL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IEXTEN,IEXTEN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IGNBRK,IGNBRK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IGNCR,IGNCR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IGNLCR,IGNLCR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IGNPAR,IGNPAR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_INFINITY,INFINITY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अनन्त,,,,,,,,,,,,,,,,,,,
CPP_INPCK,INPCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_INT_MAX,INT_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,पूर्णांक_उच्च,,,,,,,,,,,,,,,,,,,
CPP_INT_MIN,INT_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,पूर्णांक_न्यून,,,,,,,,,,,,,,,,,,,
CPP_ISIG,ISIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ISTRIP,ISTRIP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IXOFF,IXOFF,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_IXON,IXON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_ALL,LC_ALL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_COLLATE,LC_COLLATE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_CTYPE,LC_CTYPE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_MONETARY,LC_MONETARY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_NUMERIC,LC_NUMERIC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LC_TIME,LC_TIME,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LDBL_DIG,LDBL_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_द्वि_भग्न,,,,,,,,,,,,,,,,,,,
CPP_LDBL_EPSILON,LDBL_EPSILON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_द्वि_अंतर,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MANT_DIG,LDBL_MANT_DIG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_द्वि_पूर्ण,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MAX,LDBL_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_द्वि_उच्च,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MAX_10_EXP,LDBL_MAX_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MAX_EXP,LDBL_MAX_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MIN,LDBL_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_द्वि_न्यून,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MIN_10_EXP,LDBL_MIN_10_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LDBL_MIN_EXP,LDBL_MIN_EXP,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LONG_MAX,LONG_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दीर्घ_उच्च,,,,,,,,,,,,,,,,,,,
CPP_LONG_MIN,LONG_MIN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दीर्घ_न्यून,,,,,,,,,,,,,,,,,,,
CPP_L_CTERMID,L_ctermid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_L_TMPNAM,L_tmpnam,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,ब_क्षणिक,,,,,,,,,,,,,,,,,,,
CPP_MAX_CANON,MAX_CANON,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MAX_INPUT,MAX_INPUT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MB_CUR_MAX,MB_CUR_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MB_LEN_MAX,MB_LEN_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NAME_MAX,NAME_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NAN,NAN,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,न_अंक,,,,,,,,,,,,,,,,,,,
CPP_NANS,NANS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NCCS,NCCS,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NDEBUG,NDEBUG,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,न_संशोधन,,,,,,,,,,,,,,,,,,,
CPP_NGROUPS_MAX,NGROUPS_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NOFLSH,NOFLSH,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NULL,NULL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,शून्य,,,,,,,,,,,,,,,,,,,
CPP_OPEN_MAX,OPEN_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_OPOST,OPOST,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_ACCMODE,O_ACCMODE,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_APPEND,O_APPEND,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_CREAT,O_CREAT,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_EXCL,O_EXCL,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_NOCTTY,O_NOCTTY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_NONBLOCK,O_NONBLOCK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_RDONLY,O_RDONLY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_RDWR,O_RDWR,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_TRUNC,O_TRUNC,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_O_WRONLY,O_WRONLY,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PARENB,PARENB,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PARMRK,PARMRK,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PARODD,PARODD,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PATH_MAX,PATH_MAX,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
