# gujarati → cpp  |  script: Gujarati  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/shraeni/h2cpp.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	cpp
નહીંતર	nahii_ntara	else
જ્યાંસુધી	jyaa_nsudhii	while
કરો	karau	do
ચાલુ	caalu	continue
પસંદગી	pasa_ndagii	switch
પૂર્ણાંક	puur_naa_nka	int
અક્ષર	ak_sara	char
ખાનગી	khaanagii	private
સ્થિર	sthira	const
