# kannada → basic  |  script: Kannada  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/praatha/h2b.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	basic
ಇಲ್ಲದಿದ್ದರೆ	illadiddaree	ELSE
ಮಾಡು	maadu	DO
ಗಾಗಿ	gaagi	FOR
ಮುಂದುವರಿ	mu_nduvari	\nC continue;\n
ಸ್ಥಿತಿ	sthiti	WHILE
ಪೂರ್ಣಾಂಕ	puur_naa_nka	CINT
ಸ್ಥಿರ	sthira	CONST
ಯಾವಾಗ	yaavaaga	WHILE
