# bengali → basic  |  script: Bengali  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/praatha/h2b.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	basic
অন্যথা	anyathaa	ELSE
করো	karau	DO
জন্য	janya	FOR
চালু	caalu	\nC continue;\n
ক্ষেত্র	k_seetra	WHILE
পূর্ণসংখ্যা	puur_nasa_nkhyaa	CINT
স্থির	sthira	CONST
যখন	yakhana	WHILE
