# gujarati → basic  |  script: Gujarati  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/praatha/h2b.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	basic
નહીંતર	nahii_ntara	ELSE
કરો	karau	DO
માટે	maatee	FOR
ચાલુ	caalu	\nC continue;\n
સ્થિતિ	sthiti	WHILE
પૂર્ણાંક	puur_naa_nka	CINT
સ્થિર	sthira	CONST
જ્યારે	jyaaree	WHILE
