# konkani → yacc  |  script: Devanagari  |  © 1993-2026 Abhishek Choudhary, GPL-3.0-or-later
# native ← romenagri (retrieved/romenagri/langs) ; romenagri → target (retrieved/legacy/Hindawi/wyaaka/h2yacc.uhin)
# rows with an EMPTY native column are UNRESOLVED: a speaker must author them. Nothing here is invented.
native	romenagri	yacc
	samaap_ta	kill
	_da__asala	labs
	s_thaa_ba_dala	lconv
	_da_bhaaga	ldiv
	_da_bhaaga_prakaara	ldiv_t
	kxae_tra_ba_daloa	localeconv
	sa_s_thaaneeya	localtime
	_deergha	long
	_deergha_laa_nagha	longjmp
	_doa_sm_ri_ti	malloc
	sa_pra_thama	memchr
	sa_bhae_da	memcmp
	sa_nakala	memcpy
	sa__hataa_oa	memmove
	sa_rakhoa	memset
	soochee_ga_rdhoa	mkdir
	sa_ga_rdhoa	mktime
	_dura_twa	offsetof
	khoaloa	open
	soochee_khoaloa	opendir
	chaalaka	operator
	chhoa_rdoa	pause
	likhoa__truti	perror
	ghaa_ta	pow
	ma_likhoa	printf
	nijee	private
	rakxi_ta	protected
	soochaka_bhae_da_prakaara	ptrdiff_t
	khulaa	public
	_a__doa	putc
	_akxara__doa	putchar
	maalaa__doa	puts
	kwika	qsort
	_uthaa_oa	raise
	_akrama	rand
	pa_rdhoa	read
	soochee_pa_rdhoa	readdir
	puna_hh_sm_ri_ti	realloc
	raejistara	register
	_hataa_oa	remove
	naama	rename
	waapasa	return
	shuru_aa_ta	rewind
	soochee_shuru	rewinddir
	soochee__hataa_oa	rmdir
	ma_poochhoa	scanf
	rakhoa_bapha	setbuf
	banaa_oa_laa_nagha	setjmp
	rakhoa_kxae_tra	setlocale
	rakhoa_bhabapha	setvbuf
	laghu	short
	sa_mka_poor_nna_prakaara	sig_atomic_t
	sa_mkae_ta	signal
	chin_hi_ta	signed
	sa_mka_baakee	sigpending
	sa_mka_roakoa	sigsuspend
	maapa_prakaara	size_t
	maapa	sizeof
	pra_likhoa	sprintf
	warga_moola	sqrt
	baekrama	srand
	maalaa_poochhoa	sscanf
	_atala	static
	maanaka__truti	stderr
	maanaka_niwaesha	stdin
	maanaka_nikaasa	stdout
	ma_joa_rdoa	strcat
	ma__akxara	strchr
	ma_bhae_da	strcmp
	ma_nakala	strcpy
	ma_khoaja	strcspn
	ma__truti	strerror
	sa_maalaa	strftime
	ma_maapa	strlen
	ma_joa_rdana	strncat
	ma_bhae_dana	strncmp
	ma_nakalana	strncpy
	ma_khoajapa	strrchr
	ma__akhoaja	strspn
	ma_maalaa	strstr
	ma_sae_bhagna	strtod
	ma_moa_hara	strtok
	ma_sae__deergha	strtol
	ma_sae__a_deergha	strtoul
	kaaxthaa	struct
	chayana	switch
	pra_nnaalee	system
	dhaa_nachaa	template
	samaya	time
	samaya_prakaara	time_t
	baara	times
	pa_mchaa_mga	tm
	kxa_nnika_kha	tmpfile
	kxa_nnika	tmpnam
	chhoatae	tolower
	ba_rdae	toupper
	prakaara	typedef
	_akxara_waapasa	ungetc
	joa_rda	union
	_achin_hi_ta	unsigned
	ba_hu__tarka	va_arg
	ba_hu_poor_nna	va_end
	ba_hu_soochee	va_list
	ba_hu_shuroo	va_start
	bhakha_likhoa	vfprintf
	bhawa	virtual
	wyoama	void
	_as_thira	volatile
	bha_likhoa	vprintf
	bhama_likhoa	vsprintf
	rukoa	wait
	ba__akxara_prakaara	wchar_t
	jaba_taka	while
	ga_likhoa	write
	samaya_loa	gettime
	samaya_rakhoa	settime
